0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:56:09 +0800] "GET /main/include/css/button-usr.css HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:56:09 +0800] "GET /saleAction!toSaleMainAdd.action HTTP/1.1" 200 27404
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:56:09 +0800] "GET /jslib/datepicker/skin/WdatePicker.css HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:56:09 +0800] "GET /jslib/jquery-easyui-1.3/themes/default/images/validatebox_warning.png HTTP/1.1" 200 921
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:56:09 +0800] "POST /customerAction!combox.action HTTP/1.1" 200 793
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:56:09 +0800] "POST /accounterAction!combox.action HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:56:09 +0800] "POST /saleAction!saleStockCombox.action HTTP/1.1" 200 2762
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:56:10 +0800] "GET /jslib/datepicker/My97DatePicker.htm HTTP/1.1" 200 1389
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:56:10 +0800] "GET /jslib/datepicker/config.js HTTP/1.1" 200 223
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:56:10 +0800] "GET /jslib/datepicker/skin/default/datepicker.css HTTP/1.1" 200 3726
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:56:10 +0800] "GET /jslib/datepicker/skin/whyGreen/datepicker.css HTTP/1.1" 200 3933
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:56:10 +0800] "GET /jslib/datepicker/skin/default/img.gif HTTP/1.1" 200 1578
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:56:11 +0800] "GET /jslib/jquery-easyui-1.3/themes/default/images/validatebox_pointer.gif HTTP/1.1" 200 82
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:56:31 +0800] "GET /jslib/jquery-easyui-1.3/themes/default/images/messager_question.gif HTTP/1.1" 200 1607
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:56:34 +0800] "POST /saleAction!addMain.action HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:58:07 +0800] "POST /userAction!login.action HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:58:07 +0800] "GET /index.jsp HTTP/1.1" 200 3790
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:58:07 +0800] "GET /images/360fc/bg.jpg HTTP/1.1" 404 344
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:58:07 +0800] "POST /layout/north.jsp HTTP/1.1" 200 2598
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:58:07 +0800] "POST /layout/center.jsp HTTP/1.1" 200 4705
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:58:07 +0800] "POST /layout/west.jsp HTTP/1.1" 200 5047
